Measurement Name,Scanner_noise16-30-18 (Normal Range),
Time of run,08/09/2021 16:30:18 (1631115019),
Duration,50 s,
Measurement location,,
Analyzer model,,
Serial number,11035,
Operator name,,
Calibration,,
Notes,,

Measurement mode,Autostore (Normal Range),
Start mode,Normal,
Duration (s),50,

Channel 1,+0 dB,AC,,B&K4134_GRASS26AM_B&K4157,0.00441206 (V)/(Pa),

Signal CH1,20000 Hz / 51.2 kHz,,,,0.005,
1/3 Octave CH1,16 Hz ÷ 20 kHz,,,Fast,0.125,
FFT CH1,20 kHz,801 lines,Hanning,Fast,0.08,None,
SLM CH1,,,,,0.125,
Taktmaximal CH1,5 s,,,,5,
Marker,,,,,0.005,
,CH1,
Overload count,0,
Underrange count,0,
Marker count,Auto,Zug,Flugzeug,Pegelüberschreitung,Beschwerdeführer-Taste1,Beschwerdeführer-Taste2,
,0,0,0,0,0,0,
Time,Overload,Underrange,Marker,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,SUM(LIN),SUM(A),
s,,,,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,
0.125,,,,82.0295791625977,55.5310745239258,57.7805023193359,79.0832824707031,66.346305847168,70.8047637939453,70.8079681396484,62.8553924560547,61.6518859863281,69.9328918457031,70.5102767944336,73.6589126586914,74.5724411010742,76.601921081543,80.7300491333008,87.7559585571289,96.0585021972656,106.640029907227,93.9641418457031,87.7200317382813,86.7151947021484,85.9467391967773,102.989791870117,91.2418670654297,96.8090133666992,78.7174987792969,79.8167190551758,82.3115692138672,72.0598297119141,65.5128326416016,62.9980621337891,59.4025268554688,109.117721557617,109.061431884766,
0.25,,,,83.0582580566406,58.71533203125,62.7057342529297,78.1892013549805,66.6592254638672,71.0736083984375,69.0588607788086,64.4321899414063,64.2269058227539,74.4398651123047,71.5298614501953,73.6799163818359,75.1806716918945,77.52294921875,81.7710952758789,87.3489456176758,96.4234161376953,105.967323303223,95.0366134643555,88.5837249755859,87.0450668334961,85.8114700317383,101.850708007813,92.4760284423828,96.1542510986328,77.6027069091797,78.5735321044922,81.1975860595703,71.3116989135742,64.9305114746094,62.148323059082,58.5955085754395,108.533126831055,108.42707824707,
0.375,,,,83.4844970703125,56.9350624084473,63.7090454101563,78.6136474609375,65.0993957519531,71.392692565918,69.0889511108398,65.6796646118164,67.0122451782227,72.8816146850586,70.0406723022461,72.8481903076172,74.41552734375,78.1659088134766,82.3566055297852,87.7168579101563,96.6769256591797,106.03995513916,95.2656936645508,88.9643096923828,86.5844802856445,85.0166702270508,101.231750488281,91.3844451904297,95.3937149047852,76.8892211914063,77.9955062866211,80.5983123779297,70.9418411254883,64.336540222168,61.4684638977051,58.1974601745605,108.410606384277,108.217918395996,
0.5,,,,84.2168273925781,56.2238502502441,61.8200759887695,77.9981536865234,66.3408050537109,72.290901184082,67.5635604858398,67.0921325683594,67.6311798095703,73.7819442749023,69.0164794921875,72.3707427978516,74.5375137329102,78.1098480224609,82.5819244384766,87.9243469238281,96.9569473266602,106.256149291992,95.5702590942383,89.2471771240234,86.9426345825195,85.2235260009766,101.294212341309,91.7760620117188,95.5743789672852,76.9203872680664,78.0696792602539,80.6397552490234,70.9118499755859,64.4628067016602,61.6692771911621,58.3028373718262,108.609931945801,108.404685974121,
0.625,,,,84.1967697143555,58.5634651184082,62.2086296081543,78.4497909545898,67.216438293457,71.9927825927734,69.0822448730469,64.6793060302734,67.2328796386719,71.6061553955078,70.0761337280273,72.8443069458008,74.6841506958008,78.2883224487305,82.5524826049805,87.9855270385742,96.8578414916992,106.480072021484,95.8564071655273,89.2688140869141,87.1518096923828,85.4503936767578,101.533142089844,92.088134765625,95.8349609375,77.0807800292969,78.2688369750977,80.8512115478516,71.1698837280273,64.8061447143555,61.9948272705078,58.5961723327637,108.81640625,108.622505187988,
0.75,,,,84.2918243408203,57.3549118041992,60.2342071533203,78.0442886352539,67.1279296875,70.6853179931641,66.8748550415039,66.8218688964844,66.4969177246094,74.607551574707,71.1077041625977,72.5188140869141,74.8106307983398,78.0590896606445,82.1869735717773,87.3637008666992,96.8815460205078,106.661849975586,95.5147399902344,89.0320739746094,87.1810455322266,85.6928863525391,101.756271362305,92.4173736572266,96.1125869750977,77.3709869384766,78.5564804077148,81.1070251464844,71.3144378662109,64.9818344116211,62.322151184082,58.7833709716797,108.966003417969,108.783729553223,
0.875,,,,84.1970825195313,54.6812210083008,61.1638641357422,78.0037612915039,66.0098724365234,72.172721862793,71.1032333374023,68.6299362182617,66.1264343261719,73.2211456298828,70.1940231323242,73.7321548461914,74.994140625,78.17529296875,82.1517944335938,87.5635604858398,96.9508209228516,106.33716583252,95.0024719238281,88.7512512207031,87.1119232177734,85.7730941772461,101.986587524414,92.5146865844727,96.4003067016602,77.5602874755859,78.8277587890625,81.3579559326172,71.4139175415039,65.1741790771484,62.3478240966797,58.9741363525391,108.824417114258,108.687812805176,
1,,,,84.3287658691406,59.5241088867188,60.9236145019531,77.9536361694336,67.4840621948242,71.8584671020508,72.134880065918,67.9968719482422,67.2149505615234,74.165283203125,71.0857620239258,72.8530883789063,75.4612579345703,78.4198455810547,82.6817245483398,87.5775909423828,97.0706024169922,106.160430908203,95.2492446899414,89.0159530639648,87.1117324829102,85.7469177246094,101.655540466309,92.5741195678711,96.2691421508789,77.2317810058594,78.5523376464844,81.1386489868164,71.2083969116211,64.9689025878906,62.0906524658203,58.7781372070313,108.674812316895,108.519943237305,
