Measurement Name,Scanner_noise16-30-18 (Normal Range),
Time of run,08/09/2021 16:30:18 (1631115019),
Duration,50 s,
Measurement location,,
Analyzer model,,
Serial number,11035,
Operator name,,
Calibration,,
Notes,,

Measurement mode,Autostore (Normal Range),
Start mode,Normal,
Duration (s),50,

Channel 1,+0 dB,AC,,B&K4134_GRASS26AM_B&K4157,0.00441206 (V)/(Pa),

Signal CH1,20000 Hz / 51.2 kHz,,,,0.005,
1/3 Octave CH1,16 Hz ÷ 20 kHz,,,Fast,0.125,
FFT CH1,20 kHz,801 lines,Hanning,Fast,0.08,None,
SLM CH1,,,,,0.125,
Taktmaximal CH1,5 s,,,,5,
Marker,,,,,0.005,
,CH1,
Overload count,0,
Underrange count,0,
Marker count,Auto,Zug,Flugzeug,Pegelüberschreitung,Beschwerdeführer-Taste1,Beschwerdeführer-Taste2,
,0,0,0,0,0,0,
Time,Overload,Underrange,Marker,LZF,LZFmax,LZFmax(t),LZFmin,LZFmin(t),LAF,LAFmax,LAFmax(t),LAFmin,LAFmin(t),LCF,LCFmax,LCFmax(t),LCFmin,LCFmin(t),LZS,LZSmax,LZSmax(t),LZSmin,LZSmin(t),LAS,LASmax,LASmax(t),LASmin,LASmin(t),LCS,LCSmax,LCSmax(t),LCSmin,LCSmin(t),LZI,LZImax,LZImax(t),LZImin,LZImin(t),LAI,LAImax,LAImax(t),LAImin,LAImin(t),LCI,LCImax,LCImax(t),LCImin,LCImin(t),LZeq(t),LAeq(t),LCeq(t),LZeq,LAeq,LCeq,LZE,LAE,LCE,LC - LA,LCeq - LAeq,LZIeq,LAIeq,LCIeq,LAIeq - LAeq,LZpk(t),LZpeak,LApk(t),LApeak,LCpk(t),LCpeak,LAtm5,LAtm5(t),LAtm5 - LAeq,LAF1,LAF5,LAF10,LAF50,LAF90,LAF95,LAF99,
s,,,,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,
0.125,,,,109.312591552734,110.532775878906,110.532775878906,109.099716186523,109.099716186523,109.233322143555,110.530899047852,110.530899047852,109.044708251953,109.044708251953,109.192504882813,110.41136932373,110.41136932373,108.97492980957,108.97492980957,110.251960754395,110.454833984375,110.454833984375,110.240020751953,110.240020751953,110.257629394531,110.472717285156,110.472717285156,110.249031066895,110.249031066895,110.128051757813,110.330383300781,110.330383300781,110.115623474121,110.115623474121,109.279861450195,109.331176757813,109.331176757813,101.685859680176,101.685859680176,109.094703674316,109.145652770996,109.145652770996,101.706680297852,101.706680297852,109.180328369141,109.232406616211,109.232406616211,101.560958862305,101.560958862305,108.45573425293,108.276679992676,108.344123840332,108.45573425293,108.276679992676,108.344123840332,99.4248275756836,99.2457885742188,99.313232421875,0.0674468651413918,0.0674458369612694,109.279861450195,109.094703674316,109.180328369141,0.818023920059204,119.859848022461,119.859848022461,120.880554199219,120.880554199219,119.82852935791,119.82852935791,0,0,0,109.199996948242,109.199996948242,109.199996948242,109.199996948242,109.199996948242,109.199996948242,109.199996948242,
0.25,,,,108.542083740234,110.532775878906,109.560005187988,108.504753112793,108.504753112793,108.448333740234,110.530899047852,109.465171813965,108.36376953125,108.36376953125,108.415985107422,110.41136932373,109.446952819824,108.391044616699,108.391044616699,110.056343078613,110.454833984375,110.262184143066,110.056343078613,110.056343078613,110.052062988281,110.472717285156,110.264442443848,110.052062988281,110.052062988281,109.93236541748,110.330383300781,110.139099121094,109.93236541748,109.93236541748,109.709609985352,109.784301757813,109.784301757813,101.685859680176,109.282516479492,109.541137695313,109.613761901855,109.613761901855,101.706680297852,109.098129272461,109.589004516602,109.663955688477,109.663955688477,101.560958862305,109.182891845703,108.238227844238,108.110282897949,108.114158630371,108.348342895508,108.194274902344,108.230667114258,102.327743530273,102.173683166504,102.210067749023,0.00387271284125745,0.0363845899701118,109.500045776367,109.323654174805,109.389465332031,1.12937760353088,119.927864074707,119.927864074707,120.879959106445,120.880554199219,119.866104125977,119.866104125977,0,0,0,109.191993713379,109.159996032715,109.119995117188,108.800003051758,108.480003356934,108.440002441406,108.408004760742,
0.375,,,,108.285690307617,110.532775878906,109.152694702148,108.285690307617,108.285690307617,108.117286682129,110.530899047852,109.016174316406,108.117286682129,108.117286682129,108.170837402344,110.41136932373,109.041213989258,108.170837402344,108.170837402344,109.898010253906,110.454833984375,110.083862304688,109.898010253906,109.898010253906,109.876319885254,110.472717285156,110.073013305664,109.876319885254,109.876319885254,109.77562713623,110.330383300781,109.960906982422,109.77562713623,109.77562713623,109.703025817871,109.784301757813,109.773788452148,101.685859680176,109.664993286133,109.519729614258,109.613761901855,109.591674804688,101.706680297852,109.495918273926,109.601745605469,109.672691345215,109.672691345215,101.560958862305,109.544761657715,108.525993347168,108.311576843262,108.42121887207,108.408363342285,108.233726501465,108.295120239258,104.148681640625,103.974044799805,104.035430908203,0.109644494950771,0.0613849684596062,109.568771362305,109.389999389648,109.461380004883,1.15627157688141,119.965438842773,119.965438842773,121.058807373047,121.058807373047,119.890296936035,119.890296936035,0,0,0,109.18399810791,109.119995117188,109.040000915527,108.400001525879,108.159996032715,108.129997253418,108.105995178223,
0.5,,,,108.420486450195,110.532775878906,109.018165588379,108.236938476563,108.236938476563,108.237533569336,110.530899047852,108.864959716797,108.055770874023,108.055770874023,108.306953430176,110.41136932373,108.902648925781,108.125366210938,108.125366210938,109.776321411133,110.454833984375,109.927253723145,109.776321411133,109.776321411133,109.740837097168,110.472717285156,109.90168762207,109.740837097168,109.740837097168,109.654724121094,110.330383300781,109.804985046387,109.654724121094,109.654724121094,109.692108154297,109.788726806641,109.788726806641,101.685859680176,109.692108154297,109.52286529541,109.621185302734,109.621185302734,101.706680297852,109.518348693848,109.582359313965,109.678970336914,109.678970336914,101.560958862305,109.582359313965,108.766403198242,108.595565795898,108.65217590332,108.500679016113,108.327056884766,108.387176513672,105.490379333496,105.316757202148,105.376876831055,0.0566110014915466,0.0601161457598209,109.59992980957,109.423599243164,109.49195098877,1.09654831886292,120.019409179688,120.019409179688,121.037750244141,121.058807373047,119.973907470703,119.973907470703,0,0,0,109.175994873047,109.07999420166,108.959999084473,108.300003051758,108.129997253418,108.11499786377,108.102996826172,
0.625,,,,108.6572265625,110.532775878906,108.971252441406,108.179016113281,108.179016113281,108.481170654297,110.530899047852,108.808280944824,107.998054504395,107.998054504395,108.550346374512,110.41136932373,108.860542297363,108.066780090332,108.066780090332,109.673141479492,110.454833984375,109.781959533691,109.670913696289,109.670913696289,109.626007080078,110.472717285156,109.742645263672,109.626007080078,109.626007080078,109.552833557129,110.330383300781,109.660873413086,109.54891204834,109.54891204834,109.764801025391,109.79320526123,109.79320526123,101.685859680176,109.669631958008,109.597396850586,109.626770019531,109.626770019531,101.706680297852,109.496627807617,109.655990600586,109.683883666992,109.683883666992,101.560958862305,109.559257507324,108.810211181641,108.654296875,108.701362609863,108.564376831055,108.394508361816,108.451850891113,106.523178100586,106.353302001953,106.410659790039,0.0470675379037857,0.0573485568165779,109.633407592773,109.458923339844,109.525253295898,1.06441724300385,119.836196899414,120.019409179688,120.868133544922,121.058807373047,119.684387207031,119.973907470703,0,0,0,109.171997070313,109.059997558594,108.919998168945,108.400001525879,108.139999389648,108.119995117188,108.103996276855,
0.75,,,,108.849411010742,110.532775878906,108.96053314209,108.172241210938,108.172241210938,108.684951782227,110.530899047852,108.793228149414,107.989944458008,107.989944458008,108.740707397461,110.41136932373,108.849075317383,108.063003540039,108.063003540039,109.577110290527,110.454833984375,109.652702331543,109.543930053711,109.543930053711,109.519798278809,110.472717285156,109.605255126953,109.492408752441,109.492408752441,109.457336425781,110.330383300781,109.532173156738,109.422698974609,109.422698974609,109.755645751953,109.79320526123,109.765846252441,101.685859680176,109.674362182617,109.572662353516,109.626770019531,109.583572387695,101.706680297852,109.508674621582,109.653442382813,109.683883666992,109.663459777832,101.560958862305,109.564506530762,108.751663208008,108.600173950195,108.636154174805,108.596153259277,108.429473876953,108.483116149902,107.346771240234,107.180084228516,107.233734130859,0.0359783247113228,0.0536519214510918,109.654022216797,109.478080749512,109.546882629395,1.04862082004547,119.80500793457,120.019409179688,120.910903930664,121.058807373047,119.693405151367,119.973907470703,0,0,0,109.174995422363,109.074996948242,108.949996948242,108.450004577637,108.150001525879,108.125,108.104995727539,
0.875,,,,108.915161132813,110.532775878906,108.949813842773,108.162811279297,108.162811279297,108.756149291992,110.530899047852,108.790679931641,107.980949401855,107.980949401855,108.798950195313,110.41136932373,108.838043212891,108.052520751953,108.052520751953,109.477882385254,110.454833984375,109.562149047852,109.428314208984,109.428314208984,109.410926818848,110.472717285156,109.503791809082,109.366302490234,109.366302490234,109.357925415039,110.330383300781,109.442588806152,109.307441711426,109.307441711426,109.758445739746,109.805999755859,109.805999755859,101.685859680176,109.690994262695,109.598587036133,109.646270751953,109.646270751953,101.706680297852,109.509315490723,109.652008056641,109.700134277344,109.700134277344,101.560958862305,109.588104248047,108.605010986328,108.446975708008,108.48316192627,108.59741973877,108.431976318359,108.483123779297,108.017501831055,107.852058410645,107.903205871582,0.0361824929714203,0.0511519648134708,109.669097900391,109.495506286621,109.562057495117,1.06353509426117,120.16773223877,120.16773223877,121.075012207031,121.075012207031,119.992179870605,119.992179870605,0,0,0,109.175994873047,109.080001831055,108.959999084473,108.5,108.159996032715,108.129997253418,108.105995178223,
1,,,,108.661148071289,110.532775878906,108.963623046875,108.162811279297,108.171043395996,108.510986328125,110.530899047852,108.800979614258,107.980949401855,107.990982055664,108.543075561523,110.41136932373,108.852005004883,108.052520751953,108.058662414551,109.355766296387,110.454833984375,109.480194091797,109.32356262207,109.32356262207,109.280937194824,110.472717285156,109.412078857422,109.251663208008,109.251663208008,109.235992431641,110.330383300781,109.360816955566,109.20337677002,109.20337677002,109.712417602539,109.805999755859,109.771461486816,101.685859680176,109.687072753906,109.539138793945,109.646270751953,109.598724365234,101.706680297852,109.524200439453,109.612312316895,109.700134277344,109.67212677002,101.560958862305,109.58016204834,108.279647827148,108.125526428223,108.161972045898,108.558952331543,108.394836425781,108.44425201416,108.558952331543,108.394836425781,108.44425201416,0.0364474877715111,0.0494265928864479,109.674530029297,109.500991821289,109.568367004395,1.10615766048431,119.623352050781,120.16773223877,120.872039794922,121.075012207031,119.50447845459,119.992179870605,0,0,0,109.171997070313,109.059997558594,108.919998168945,108.5,108.169998168945,108.134994506836,108.106994628906,
1.125,,,,108.554389953613,110.532775878906,108.958068847656,108.162811279297,108.171340942383,108.393539428711,110.530899047852,108.798568725586,107.980949401855,107.98974609375,108.43733215332,110.41136932373,108.844367980957,108.052520751953,108.060958862305,109.25959777832,110.454833984375,109.382934570313,109.233177185059,109.233177185059,109.175354003906,110.472717285156,109.305892944336,109.151901245117,109.151901245117,109.140464782715,110.330383300781,109.263694763184,109.113609313965,109.113609313965,109.705032348633,109.811767578125,109.811767578125,101.685859680176,109.692008972168,109.542190551758,109.649032592773,109.649032592773,101.706680297852,109.530212402344,109.596908569336,109.704177856445,109.704177856445,101.560958862305,109.583740234375,108.45751953125,108.284652709961,108.344665527344,108.547790527344,108.382720947266,108.433303833008,109.059326171875,108.894256591797,108.94482421875,0.0600174255669117,0.050578597933054,109.677932739258,109.505584716797,109.571548461914,1.12285983562469,119.801986694336,120.16773223877,120.925201416016,121.075012207031,119.805282592773,119.992179870605,0,0,0,109.167999267578,109.040000915527,108.880004882813,108.5,108.180000305176,108.139999389648,108.108001708984,
